iter	Passed	Remaining
0	1	160
1	2	142
2	4	138
3	5	140
4	7	149
5	9	148
6	10	145
7	12	146
8	15	151
9	18	163
10	19	160
11	21	156
12	22	152
13	24	149
14	25	146
15	27	146
16	30	148
17	32	148
18	34	148
19	36	144
20	37	140
21	38	136
22	39	133
23	41	129
24	42	126
25	43	123
26	44	120
27	45	118
28	47	115
29	48	113
30	49	110
31	51	108
32	52	106
33	53	103
34	54	101
35	56	99
36	57	97
37	58	95
38	59	93
39	60	91
40	62	90
41	63	88
42	65	86
43	66	84
44	67	82
45	68	80
46	70	79
47	71	77
48	72	75
49	73	73
50	74	71
51	76	70
52	77	68
53	78	67
54	79	65
55	81	63
56	82	62
57	83	60
58	84	58
59	85	57
60	88	56
61	90	55
62	92	54
63	94	53
64	96	51
65	97	50
66	98	48
67	99	47
68	101	45
69	102	43
70	103	42
71	104	40
72	105	39
73	107	37
74	108	36
75	110	34
76	113	33
77	114	32
78	116	31
79	118	29
80	120	28
81	123	27
82	125	25
83	127	24
84	128	22
85	129	21
86	130	19
87	132	18
88	133	16
89	134	14
90	135	13
91	136	11
92	138	10
93	139	8
94	140	7
95	142	5
96	144	4
97	146	2
98	148	1
99	152	0
